3,1,1394,404,365,174,-1,-1,-1,-1
3,2,668,333,127,125,-1,-1,-1,-1
3,3,685,293,103,77,-1,-1,-1,-1
3,4,736,287,72,75,-1,-1,-1,-1
3,5,804,189,16,13,-1,-1,-1,-1
3,6,830,198,20,13,-1,-1,-1,-1
3,7,946,180,13,18,-1,-1,-1,-1
4,1,1439,406,378,181,-1,-1,-1,-1
4,2,668,334,125,123,-1,-1,-1,-1
4,3,684,293,105,77,-1,-1,-1,-1
4,4,737,288,70,73,-1,-1,-1,-1
4,5,803,190,15,13,-1,-1,-1,-1
4,6,829,196,23,15,-1,-1,-1,-1
4,7,945,179,13,18,-1,-1,-1,-1
5,1,1492,412,378,181,-1,-1,-1,-1
5,2,669,336,122,121,-1,-1,-1,-1
5,3,682,293,108,79,-1,-1,-1,-1
5,4,736,287,72,74,-1,-1,-1,-1
5,5,802,191,15,12,-1,-1,-1,-1
5,6,829,198,20,13,-1,-1,-1,-1
5,7,945,179,13,18,-1,-1,-1,-1
5,11,841,178,15,16,-1,-1,-1,-1
6,1,1539,418,378,181,-1,-1,-1,-1
6,2,669,338,121,119,-1,-1,-1,-1
6,3,681,293,108,80,-1,-1,-1,-1
6,4,735,286,73,76,-1,-1,-1,-1
6,5,801,190,16,13,-1,-1,-1,-1
6,6,829,198,20,13,-1,-1,-1,-1
6,7,944,178,13,19,-1,-1,-1,-1
6,11,841,178,15,16,-1,-1,-1,-1
7,1,1575,424,344,181,-1,-1,-1,-1
7,2,668,339,122,120,-1,-1,-1,-1
7,3,684,296,103,76,-1,-1,-1,-1
7,4,734,288,73,75,-1,-1,-1,-1
7,5,800,190,17,13,-1,-1,-1,-1
7,6,828,198,21,13,-1,-1,-1,-1
7,11,841,178,16,16,-1,-1,-1,-1
8,1,1622,429,297,168,-1,-1,-1,-1
8,2,667,340,123,120,-1,-1,-1,-1
8,3,684,297,103,75,-1,-1,-1,-1
8,4,734,288,73,76,-1,-1,-1,-1
8,5,799,190,18,14,-1,-1,-1,-1
8,6,828,198,20,14,-1,-1,-1,-1
8,11,841,179,15,15,-1,-1,-1,-1
9,1,1658,432,261,163,-1,-1,-1,-1
9,2,665,341,124,122,-1,-1,-1,-1
9,3,684,297,103,75,-1,-1,-1,-1
9,4,734,288,73,75,-1,-1,-1,-1
9,5,798,190,18,14,-1,-1,-1,-1
9,6,826,198,23,14,-1,-1,-1,-1
9,11,841,180,16,14,-1,-1,-1,-1
9,13,834,201,14,10,-1,-1,-1,-1
10,1,1694,436,225,163,-1,-1,-1,-1
10,2,662,341,127,124,-1,-1,-1,-1
10,3,683,298,103,74,-1,-1,-1,-1
10,4,731,289,73,75,-1,-1,-1,-1
10,5,798,191,17,14,-1,-1,-1,-1
10,6,826,198,23,15,-1,-1,-1,-1
10,11,841,181,14,14,-1,-1,-1,-1
10,13,834,201,13,10,-1,-1,-1,-1
11,1,1729,442,190,162,-1,-1,-1,-1
11,2,662,342,126,124,-1,-1,-1,-1
11,3,682,296,109,80,-1,-1,-1,-1
11,4,733,287,73,75,-1,-1,-1,-1
11,5,796,191,17,14,-1,-1,-1,-1
11,6,826,198,22,15,-1,-1,-1,-1
11,11,841,182,14,13,-1,-1,-1,-1
11,13,834,201,14,11,-1,-1,-1,-1
12,1,1764,446,155,161,-1,-1,-1,-1
12,2,661,343,129,127,-1,-1,-1,-1
12,3,681,296,111,81,-1,-1,-1,-1
12,4,734,287,73,75,-1,-1,-1,-1
12,5,794,191,20,15,-1,-1,-1,-1
12,6,825,198,23,15,-1,-1,-1,-1
12,13,835,201,15,11,-1,-1,-1,-1
13,2,659,346,128,127,-1,-1,-1,-1
13,3,678,296,116,86,-1,-1,-1,-1
13,4,735,287,74,77,-1,-1,-1,-1
13,5,794,191,19,15,-1,-1,-1,-1
13,6,824,199,25,15,-1,-1,-1,-1
13,13,835,201,15,11,-1,-1,-1,-1
14,2,656,348,131,129,-1,-1,-1,-1
14,3,677,297,118,88,-1,-1,-1,-1
14,4,736,287,73,77,-1,-1,-1,-1
14,5,793,191,20,15,-1,-1,-1,-1
14,6,824,199,25,16,-1,-1,-1,-1
15,2,654,350,134,132,-1,-1,-1,-1
15,3,679,299,113,84,-1,-1,-1,-1
15,4,736,287,71,75,-1,-1,-1,-1
15,5,793,191,19,16,-1,-1,-1,-1
15,6,823,199,27,17,-1,-1,-1,-1
16,2,652,351,135,134,-1,-1,-1,-1
16,3,673,299,121,91,-1,-1,-1,-1
16,4,736,287,71,75,-1,-1,-1,-1
16,5,792,192,19,15,-1,-1,-1,-1
16,6,823,199,27,17,-1,-1,-1,-1
17,2,650,355,135,134,-1,-1,-1,-1
17,3,672,299,122,93,-1,-1,-1,-1
17,4,736,286,70,75,-1,-1,-1,-1
17,5,790,192,21,15,-1,-1,-1,-1
17,6,824,202,23,15,-1,-1,-1,-1
17,13,832,205,14,10,-1,-1,-1,-1
18,2,650,358,134,133,-1,-1,-1,-1
18,3,669,300,127,97,-1,-1,-1,-1
18,4,736,286,70,75,-1,-1,-1,-1
18,5,790,192,20,16,-1,-1,-1,-1
18,6,823,202,24,16,-1,-1,-1,-1
18,13,832,206,13,10,-1,-1,-1,-1
19,2,646,362,136,136,-1,-1,-1,-1
19,3,673,303,122,94,-1,-1,-1,-1
19,4,735,286,70,75,-1,-1,-1,-1
19,5,789,193,19,15,-1,-1,-1,-1
19,6,821,201,27,17,-1,-1,-1,-1
20,2,643,364,140,140,-1,-1,-1,-1
20,3,670,304,125,98,-1,-1,-1,-1
20,4,735,288,69,73,-1,-1,-1,-1
20,5,788,193,20,15,-1,-1,-1,-1
20,6,820,201,27,18,-1,-1,-1,-1
21,2,638,366,145,145,-1,-1,-1,-1
21,3,671,307,123,97,-1,-1,-1,-1
21,4,734,288,70,73,-1,-1,-1,-1
21,5,786,192,21,17,-1,-1,-1,-1
21,6,819,201,27,18,-1,-1,-1,-1
22,2,634,370,146,147,-1,-1,-1,-1
22,3,668,307,129,103,-1,-1,-1,-1
22,4,733,288,70,73,-1,-1,-1,-1
22,5,785,192,22,17,-1,-1,-1,-1
22,6,818,201,28,18,-1,-1,-1,-1
23,2,630,373,150,151,-1,-1,-1,-1
23,3,662,306,137,110,-1,-1,-1,-1
23,4,732,288,71,74,-1,-1,-1,-1
23,5,785,192,21,17,-1,-1,-1,-1
23,6,817,202,28,18,-1,-1,-1,-1
24,2,624,378,153,154,-1,-1,-1,-1
24,3,665,308,131,108,-1,-1,-1,-1
24,4,731,289,72,74,-1,-1,-1,-1
24,5,785,192,20,17,-1,-1,-1,-1
24,6,817,204,27,17,-1,-1,-1,-1
25,2,621,384,154,155,-1,-1,-1,-1
25,3,663,307,133,111,-1,-1,-1,-1
25,4,731,289,72,75,-1,-1,-1,-1
25,5,783,192,22,17,-1,-1,-1,-1
25,6,817,204,28,18,-1,-1,-1,-1
25,11,837,180,19,18,-1,-1,-1,-1
26,2,618,389,156,157,-1,-1,-1,-1
26,3,664,309,131,110,-1,-1,-1,-1
26,4,731,290,72,74,-1,-1,-1,-1
26,5,783,192,23,18,-1,-1,-1,-1
26,6,817,205,27,18,-1,-1,-1,-1
26,11,836,180,21,20,-1,-1,-1,-1
27,2,613,394,162,164,-1,-1,-1,-1
27,3,664,309,133,113,-1,-1,-1,-1
27,4,731,290,73,75,-1,-1,-1,-1
27,5,783,192,23,18,-1,-1,-1,-1
27,6,816,205,27,18,-1,-1,-1,-1
